"UbigeoProv","Provincia","conteoIE"
"010100","CHACHAPOYAS",313
"010200","BAGUA",655
"010300","BONGARA",169
"010400","CONDORCANQUI",531
"010500","LUYA",407
"010600","RODRIGUEZ DE MENDOZA",227
"010700","UTCUBAMBA",774
"020100","HUARAZ",673
"020200","AIJA",95
"020300","ANTONIO RAYMONDI",137
"020400","ASUNCION",81
"020500","BOLOGNESI",167
"020600","CARHUAZ",221
"020700","CARLOS FERMIN FITZCARRALD",171
"020800","CASMA",164
"020900","CORONGO",79
"021000","HUARI",450
"021100","HUARMEY",127
"021200","HUAYLAS",320
"021300","MARISCAL LUZURIAGA",183
"021400","OCROS",74
"021500","PALLASCA",207
"021600","POMABAMBA",227
"021700","RECUAY",155
"021800","SANTA",1240
"021900","SIHUAS",266
"022000","YUNGAY",364
"030100","ABANCAY",546
"030200","ANDAHUAYLAS",836
"030300","ANTABAMBA",105
"030400","AYMARAES",217
"030500","COTABAMBAS",459
"030600","CHINCHEROS",401
"030700","GRAU",255
"040100","AREQUIPA",3498
"040200","CAMANA",211
"040300","CARAVELI",161
"040400","CASTILLA",240
"040500","CAYLLOMA",456
"040600","CONDESUYOS",146
"040700","ISLAY",184
"040800","LA UNION",142
"050100","HUAMANGA",1064
"050200","CANGALLO",241
"050300","HUANCA SANCOS",68
"050400","HUANTA",586
"050500","LA MAR",581
"050600","LUCANAS",515
"050700","PARINACOCHAS",266
"050800","PAUCAR DEL SARA SARA",131
"050900","SUCRE",143
"051000","VICTOR FAJARDO",159
"051100","VILCAS HUAMAN",188
"060100","CAJAMARCA",1589
"060200","CAJABAMBA",475
"060300","CELENDIN",690
"060400","CHOTA",1043
"060500","CONTUMAZA",279
"060600","CUTERVO",1067
"060700","HUALGAYOC",510
"060800","JAEN",1197
"060900","SAN IGNACIO",1056
"061000","SAN MARCOS",390
"061100","SAN MIGUEL",482
"061200","SAN PABLO",206
"061300","SANTA CRUZ",409
"070100","CALLAO",1953
"080100","CUSCO",1081
"080200","ACOMAYO",191
"080300","ANTA",303
"080400","CALCA",397
"080500","CANAS",335
"080600","CANCHIS",523
"080700","CHUMBIVILCAS",429
"080800","ESPINAR",349
"080900","LA CONVENCION",1011
"081000","PARURO",250
"081100","PAUCARTAMBO",342
"081200","QUISPICANCHI",470
"081300","URUBAMBA",266
"090100","HUANCAVELICA",817
"090200","ACOBAMBA",284
"090300","ANGARAES",402
"090400","CASTROVIRREYNA",293
"090500","CHURCAMPA",356
"090600","HUAYTARA",300
"090700","TAYACAJA",760
"100100","HUANUCO",1189
"100200","AMBO",350
"100300","DOS DE MAYO",287
"100400","HUACAYBAMBA",158
"100500","HUAMALIES",413
"100600","LEONCIO PRADO",589
"100700","MARA<U+00D1>ON",242
"100800","PACHITEA",349
"100900","PUERTO INCA",352
"101000","LAURICOCHA",202
"101100","YAROWILCA",235
"110100","ICA",981
"110200","CHINCHA",716
"110300","NASCA",228
"110400","PALPA",101
"110500","PISCO",399
"120100","HUANCAYO",1766
"120200","CONCEPCION",378
"120300","CHANCHAMAYO",927
"120400","JAUJA",459
"120500","JUNIN",172
"120600","SATIPO",1453
"120700","TARMA",441
"120800","YAULI",179
"120900","CHUPACA",242
"130100","TRUJILLO",2036
"130200","ASCOPE",354
"130300","BOLIVAR",179
"130400","CHEPEN",238
"130500","JULCAN",285
"130600","OTUZCO",575
"130700","PACASMAYO",292
"130800","PATAZ",538
"130900","SANCHEZ CARRION",786
"131000","SANTIAGO DE CHUCO",405
"131100","GRAN CHIMU",254
"131200","VIRU",268
"140100","CHICLAYO",1917
"140200","FERRE<U+00D1>AFE",541
"140300","LAMBAYEQUE",1159
"150100","LIMA",17072
"150200","BARRANCA",389
"150300","CAJATAMBO",91
"150400","CANTA",90
"150500","CA<U+00D1>ETE",727
"150600","HUARAL",581
"150700","HUAROCHIRI",544
"150800","HUAURA",662
"150900","OYON",139
"151000","YAUYOS",279
"160100","MAYNAS",1791
"160200","ALTO AMAZONAS",732
"160300","LORETO",593
"160400","MARISCAL RAMON CASTILLA",422
"160500","REQUENA",510
"160600","UCAYALI",472
"160700","DATEM DEL MARA<U+00D1>ON",679
"160800","PUTUMAYO",107
"170100","TAMBOPATA",407
"170200","MANU",128
"170300","TAHUAMANU",57
"180100","MARISCAL NIETO",293
"180200","GENERAL SANCHEZ CERRO",279
"180300","ILO",173
"190100","PASCO",670
"190200","DANIEL ALCIDES CARRION",332
"190300","OXAPAMPA",843
"200100","PIURA",2029
"200200","AYABACA",1155
"200300","HUANCABAMBA",1015
"200400","MORROPON",772
"200500","PAITA",347
"200600","SULLANA",870
"200700","TALARA",428
"200800","SECHURA",253
"210100","PUNO",1016
"210200","AZANGARO",885
"210300","CARABAYA",424
"210400","CHUCUITO",650
"210500","EL COLLAO",492
"210600","HUANCANE",509
"210700","LAMPA",307
"210800","MELGAR",463
"210900","MOHO",249
"211000","SAN ANTONIO DE PUTINA",188
"211100","SAN ROMAN",824
"211200","SANDIA",427
"211300","YUNGUYO",211
"220100","MOYOBAMBA",571
"220200","BELLAVISTA",303
"220300","EL DORADO",200
"220400","HUALLAGA",162
"220500","LAMAS",541
"220600","MARISCAL CACERES",241
"220700","PICOTA",210
"220800","RIOJA",400
"220900","SAN MARTIN",457
"221000","TOCACHE",382
"230100","TACNA",902
"230200","CANDARAVE",94
"230300","JORGE BASADRE",92
"230400","TARATA",89
"240100","TUMBES",621
"240200","CONTRALMIRANTE VILLAR",120
"240300","ZARUMILLA",167
"250100","CORONEL PORTILLO",1374
"250200","ATALAYA",481
"250300","PADRE ABAD",343
"250400","PURUS",84
